"","actual_cause","effect_valence","mechanism","response"
"1","red","pleasant","disjunctive",5
"2","red","neutral","disjunctive",7
"3","blue","unpleasant","disjunctive",7
"4","red","unpleasant","conjunctive",7
"5","blue","neutral","disjunctive",6
"6","red","unpleasant","disjunctive",7
"7","red","pleasant","conjunctive",7
"8","red","pleasant","disjunctive",7
"9","blue","unpleasant","conjunctive",7
"10","red","unpleasant","conjunctive",4
"11","blue","unpleasant","conjunctive",2
"12","blue","unpleasant","disjunctive",6
"13","red","neutral","conjunctive",6
"14","red","unpleasant","conjunctive",6
"15","blue","pleasant","conjunctive",1
"16","blue","unpleasant","disjunctive",7
"17","blue","unpleasant","conjunctive",7
"18","blue","pleasant","conjunctive",1
"19","blue","neutral","disjunctive",4
"20","red","unpleasant","conjunctive",6
"21","blue","neutral","disjunctive",5
"22","red","pleasant","disjunctive",5
"23","red","neutral","disjunctive",2
"24","red","neutral","disjunctive",3
"25","red","pleasant","disjunctive",6
"26","red","neutral","disjunctive",4
"27","blue","neutral","disjunctive",7
"28","blue","neutral","disjunctive",4
"29","blue","neutral","disjunctive",4
"30","blue","neutral","disjunctive",5
"31","red","pleasant","conjunctive",4
"32","blue","unpleasant","conjunctive",7
"33","blue","neutral","conjunctive",6
"34","blue","unpleasant","conjunctive",6
"35","red","pleasant","conjunctive",2
"36","red","pleasant","conjunctive",7
"37","red","unpleasant","disjunctive",4
"38","blue","neutral","disjunctive",4
"39","red","neutral","disjunctive",7
"40","blue","neutral","conjunctive",3
"41","blue","neutral","conjunctive",7
"42","red","neutral","conjunctive",1
"43","blue","unpleasant","disjunctive",7
"44","red","neutral","disjunctive",2
"45","blue","pleasant","conjunctive",1
"46","blue","neutral","conjunctive",4
"47","red","unpleasant","disjunctive",7
"48","red","pleasant","conjunctive",4
"49","red","pleasant","disjunctive",2
"50","blue","neutral","conjunctive",6
"51","red","unpleasant","conjunctive",7
"52","blue","unpleasant","conjunctive",7
"53","blue","unpleasant","disjunctive",7
"54","blue","unpleasant","disjunctive",7
"55","blue","neutral","disjunctive",2
"56","red","unpleasant","disjunctive",6
"57","red","pleasant","disjunctive",3
"58","blue","unpleasant","conjunctive",5
"59","red","pleasant","conjunctive",2
"60","red","neutral","conjunctive",4
"61","blue","unpleasant","disjunctive",6
"62","blue","unpleasant","disjunctive",7
"63","red","unpleasant","conjunctive",7
"64","blue","neutral","disjunctive",2
"65","blue","neutral","conjunctive",7
"66","red","unpleasant","disjunctive",7
"67","blue","neutral","conjunctive",4
"68","red","pleasant","conjunctive",7
"69","red","pleasant","conjunctive",6
"70","red","neutral","disjunctive",4
"71","red","neutral","disjunctive",5
"72","blue","pleasant","disjunctive",1
"73","blue","pleasant","conjunctive",4
"74","red","pleasant","conjunctive",5
"75","red","pleasant","conjunctive",4
"76","red","unpleasant","conjunctive",7
"77","blue","unpleasant","disjunctive",7
"78","blue","neutral","disjunctive",7
"79","blue","pleasant","disjunctive",2
"80","blue","unpleasant","disjunctive",4
"81","red","pleasant","conjunctive",1
"82","red","unpleasant","conjunctive",7
"83","red","neutral","conjunctive",6
"84","red","unpleasant","disjunctive",7
"85","blue","neutral","disjunctive",4
"86","red","pleasant","disjunctive",2
"87","red","unpleasant","conjunctive",7
"88","blue","neutral","disjunctive",2
"89","red","neutral","conjunctive",6
"90","blue","pleasant","disjunctive",4
"91","blue","neutral","conjunctive",6
"92","red","pleasant","disjunctive",2
"93","red","unpleasant","conjunctive",7
"94","red","unpleasant","conjunctive",6
"95","red","unpleasant","conjunctive",6
"96","red","neutral","conjunctive",3
"97","blue","unpleasant","conjunctive",7
"98","blue","unpleasant","disjunctive",7
"99","red","neutral","disjunctive",4
"100","red","pleasant","conjunctive",4
"101","blue","unpleasant","conjunctive",7
"102","blue","neutral","disjunctive",7
"103","red","pleasant","disjunctive",2
"104","blue","neutral","disjunctive",3
"105","blue","neutral","conjunctive",4
"106","blue","unpleasant","conjunctive",4
"107","blue","unpleasant","conjunctive",6
"108","blue","unpleasant","conjunctive",6
"109","red","neutral","conjunctive",6
"110","red","pleasant","conjunctive",4
"111","red","pleasant","disjunctive",1
"112","red","neutral","conjunctive",7
"113","blue","neutral","disjunctive",1
"114","blue","neutral","conjunctive",6
"115","red","unpleasant","conjunctive",6
"116","blue","unpleasant","conjunctive",2
"117","red","pleasant","disjunctive",1
"118","red","pleasant","disjunctive",6
"119","red","neutral","disjunctive",4
"120","red","unpleasant","disjunctive",7
"121","blue","neutral","conjunctive",6
"122","red","neutral","conjunctive",7
"123","red","pleasant","conjunctive",5
"124","red","neutral","disjunctive",7
"125","blue","neutral","disjunctive",3
"126","red","neutral","disjunctive",4
"127","blue","unpleasant","conjunctive",7
"128","red","neutral","disjunctive",4
"129","red","unpleasant","conjunctive",6
"130","blue","pleasant","conjunctive",1
"131","red","pleasant","conjunctive",1
"132","blue","unpleasant","conjunctive",7
"133","blue","neutral","conjunctive",4
"134","red","unpleasant","disjunctive",7
"135","blue","neutral","conjunctive",7
"136","blue","pleasant","disjunctive",1
"137","blue","pleasant","disjunctive",1
"138","red","unpleasant","conjunctive",7
"139","red","pleasant","conjunctive",1
"140","blue","pleasant","conjunctive",1
"141","blue","pleasant","disjunctive",1
"142","red","unpleasant","conjunctive",7
"143","blue","neutral","disjunctive",1
"144","red","unpleasant","disjunctive",7
"145","red","pleasant","conjunctive",1
"146","red","pleasant","disjunctive",1
"147","red","neutral","disjunctive",2
"148","red","neutral","disjunctive",4
"149","red","pleasant","disjunctive",1
"150","red","unpleasant","conjunctive",7
"151","blue","neutral","conjunctive",2
"152","blue","unpleasant","conjunctive",2
"153","blue","pleasant","conjunctive",7
"154","red","neutral","conjunctive",7
"155","blue","unpleasant","conjunctive",7
"156","red","unpleasant","disjunctive",7
"157","red","unpleasant","disjunctive",4
"158","blue","pleasant","disjunctive",2
"159","red","pleasant","conjunctive",2
"160","red","unpleasant","disjunctive",4
"161","blue","unpleasant","disjunctive",2
"162","red","unpleasant","conjunctive",6
"163","red","pleasant","disjunctive",1
"164","red","pleasant","disjunctive",4
"165","red","pleasant","conjunctive",6
"166","red","unpleasant","disjunctive",6
"167","blue","neutral","conjunctive",3
"168","red","neutral","disjunctive",3
"169","red","pleasant","disjunctive",4
"170","red","unpleasant","disjunctive",5
"171","blue","pleasant","conjunctive",4
"172","blue","pleasant","conjunctive",1
"173","red","pleasant","disjunctive",4
"174","blue","neutral","disjunctive",1
"175","red","pleasant","conjunctive",7
"176","blue","neutral","conjunctive",7
"177","blue","unpleasant","conjunctive",2
"178","blue","unpleasant","conjunctive",7
"179","red","pleasant","conjunctive",2
"180","red","unpleasant","conjunctive",4
"181","blue","pleasant","conjunctive",4
"182","red","unpleasant","disjunctive",7
"183","blue","neutral","disjunctive",4
"184","red","pleasant","disjunctive",4
"185","red","neutral","conjunctive",7
"186","red","neutral","conjunctive",7
"187","red","pleasant","disjunctive",1
"188","red","neutral","disjunctive",2
"189","red","pleasant","conjunctive",4
"190","red","neutral","disjunctive",4
"191","blue","unpleasant","disjunctive",6
"192","red","unpleasant","conjunctive",4
"193","red","pleasant","disjunctive",4
"194","blue","pleasant","conjunctive",7
"195","blue","pleasant","disjunctive",4
"196","red","pleasant","disjunctive",3
"197","red","pleasant","conjunctive",2
"198","red","neutral","conjunctive",4
"199","red","pleasant","conjunctive",1
"200","blue","unpleasant","disjunctive",4
"201","red","neutral","conjunctive",7
"202","blue","pleasant","conjunctive",4
"203","blue","pleasant","conjunctive",4
"204","red","pleasant","disjunctive",7
"205","red","neutral","disjunctive",2
"206","blue","neutral","disjunctive",2
"207","red","neutral","conjunctive",4
"208","red","pleasant","conjunctive",1
"209","red","neutral","conjunctive",1
"210","red","pleasant","disjunctive",1
"211","blue","pleasant","conjunctive",2
"212","blue","pleasant","conjunctive",2
"213","blue","unpleasant","disjunctive",5
"214","red","neutral","conjunctive",3
"215","blue","pleasant","disjunctive",1
"216","red","neutral","conjunctive",7
"217","red","neutral","conjunctive",5
"218","red","neutral","disjunctive",2
"219","blue","neutral","conjunctive",1
"220","red","pleasant","disjunctive",4
"221","blue","pleasant","disjunctive",2
"222","blue","pleasant","disjunctive",3
"223","red","pleasant","conjunctive",3
"224","blue","pleasant","conjunctive",1
"225","red","neutral","disjunctive",1
"226","blue","neutral","disjunctive",2
"227","blue","pleasant","disjunctive",5
"228","blue","pleasant","disjunctive",7
"229","blue","unpleasant","conjunctive",1
"230","red","neutral","conjunctive",1
"231","blue","neutral","disjunctive",2
"232","blue","unpleasant","conjunctive",4
"233","red","unpleasant","disjunctive",4
"234","red","unpleasant","disjunctive",7
"235","blue","neutral","disjunctive",3
"236","blue","unpleasant","conjunctive",7
"237","blue","pleasant","disjunctive",2
"238","red","unpleasant","conjunctive",1
"239","red","neutral","conjunctive",4
"240","blue","pleasant","disjunctive",2
"241","red","unpleasant","conjunctive",7
"242","blue","unpleasant","disjunctive",6
"243","red","unpleasant","conjunctive",7
"244","blue","neutral","conjunctive",2
